--lua script
Item = {
n1="Kiếm Sắt",i1="",
n2="Giáp Sắt (Nam)",i2="",
n3="Giáp Sắt (Nữ)",i3="",
n4="Kiếm Tinh Sắt",i4="",
n5="Giáp Linh Xảo (Nam)",i5="",
n6="Giáp Linh Xảo (Nữ)",i6="",
n7="Đai Linh Xảo",i7="",
n8="Ủng Linh Xảo",i8="",
n9="Đá Mắt Mèo",i9="",
n10="Mũ Linh Xảo",i10="",
n11="Dây Chuyền Linh Xảo",i11="",
n12="Găng Linh Xảo",i12="",
n13="Nhẫn Linh Xảo",i13="",
n14="Kiếm Man Lực",i14="",
n15="Giáp Man Lực (Nam)",i15="",
n16="Giáp Man Lực (Nữ)",i16="",
n17="Mũ Man Lực",i17="",
n18="Dây Chuyền Man Lực",i18="",
n19="Găng Man Lực",i19="",
n20="Nhẫn Man Lực",i20="",
n21="Đai Man Lực",i21="",
n22="Ủng Man Lực",i22="",
n23="Hồng Ngọc",i23="",
n24="Huy Chương Sắt",i24="",
n25="Huy Chương Linh Xảo",i25="",
n26="Huy Chương Man Lực",i26="",
n27="Nhẫn Nguyên Lực (Đã Bỏ)",i27="",
n28="Đao Toái Cốt",i28="",
n29="Giáp Toái Cốt (Nam)",i29="",
n30="Giáp Toái Cốt (Nữ)",i30="",
n31="Mũ Toái Cốt",i31="",
n32="Dây Chuyền Toái Cốt",i32="",
n33="Vòng Tay Toái Cốt",i33="",
n34="Đai Toái Cốt",i34="",
n35="Ủng Toái Cốt",i35="",
n36="Đá Toái Cốt",i36="",
n37="Nhẫn Toái Cốt",i37="",
n38="Huy Chương Toái Cốt",i38="",
n39="Pháp Trượng Huy Hoàng (Đã Bỏ)",i39="Pháp trượng kết từ nguyên tố ma pháp, ẩn chứa ma lực dồi dào.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n40="Pháp Bào Huy Hoàng (Nam)",i40="Pháp bào dệt từ nguyên tố ma pháp, ẩn chứa ma lực dồi dào.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n41="Pháp Bào Huy Hoàng (Nữ)",i41="Pháp bào dệt từ nguyên tố ma pháp, ẩn chứa ma lực dồi dào.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n42="Mũ Huy Hoàng (Đã Bỏ)",i42="Mũ dệt từ nguyên tố ma pháp, ẩn chứa ma lực dồi dào.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n43="Dây Chuyền Huy Hoàng (Đã Bỏ)",i43="Dây chuyền dệt từ nguyên tố ma pháp, ẩn chứa ma lực dồi dào.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n44="Vòng Tay Huy Hoàng (Đã Bỏ)",i44="Vòng tay dệt từ nguyên tố ma pháp, ẩn chứa ma lực dồi dào.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n45="Đai Huy Hoàng (Đã Bỏ)",i45="Đai dệt từ nguyên tố ma pháp, ẩn chứa ma lực dồi dào.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n46="Ủng Huy Hoàng (Đã Bỏ)",i46="Ủng dệt từ nguyên tố ma pháp, ẩn chứa ma lực dồi dào.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n47="Đá Huy Hoàng (Đã Bỏ)",i47="Đá dệt từ nguyên tố ma pháp, ẩn chứa ma lực dồi dào.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n48="Nhẫn Huy Hoàng (Đã Bỏ)",i48="Nhẫn dệt từ nguyên tố ma pháp, ẩn chứa ma lực dồi dào.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n49="Huy Chương Huy Hoàng (Đã Bỏ)",i49="Huy chương dệt từ nguyên tố ma pháp, ẩn chứa ma lực dồi dào.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n50="Kiếm Băng Sương (Đã Bỏ)",i50="Thanh kiếm lạnh như băng, tỏa ra sát ý giá buốt.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n51="Giáp Băng Sương (Nam)",i51="Chiến giáp lạnh như băng, tỏa ra sát ý giá buốt.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n52="Giáp Băng Sương (Nữ)",i52="Chiến giáp lạnh như băng, tỏa ra sát ý giá buốt.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n53="Mũ Băng Sương (Đã Bỏ)",i53="Mũ lạnh như băng, tỏa ra sát ý giá buốt.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n54="Dây Chuyền Băng Sương (Đã Bỏ)",i54="Dây chuyền lạnh như băng, tỏa ra sát ý giá buốt.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n55="Vòng Tay Băng Sương (Đã Bỏ)",i55="Vòng tay lạnh như băng, tỏa ra sát ý giá buốt.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n56="Đai Băng Sương (Đã Bỏ)",i56="Đai lạnh như băng, tỏa ra sát ý giá buốt.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n57="Ủng Băng Sương (Đã Bỏ)",i57="Ủng lạnh như băng, tỏa ra sát ý giá buốt.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n58="Đá Băng Sương (Đã Bỏ)",i58="Đá lạnh như băng, tỏa ra sát ý giá buốt.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n59="Nhẫn Băng Sương (Đã Bỏ)",i59="Nhẫn lạnh như băng, tỏa ra sát ý giá buốt.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n60="Huy Chương Băng Sương (Đã Bỏ)",i60="Huy chương lạnh như băng, tỏa ra sát ý giá buốt.\\<(c0xFF00FF00) Rơi từ quái ở 'Động Tà Ác', 'Travincal'; thưởng Nhiệm Vụ Chính.\\Gợi ý: Dùng 'Đá Nâng Cấp Trang Bị' tại Rèn để nâng lên cấp 40.>",
n61="Đao Thương Lang",i61="<(c0xFFFF6600)3> <(c0xFFFF6600)Đao Thương Lang> hợp thành <(c0xFFFF6600)Đao Hoàng Kim>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n62="Giáp Thương Lang (Nam)",i62="<(c0xFFFF6600)3> <(c0xFFFF6600)Giáp Thương Lang (Nam)> hợp thành <(c0xFFFF6600)Giáp Hoàng Kim (Nam)>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n63="Giáp Thương Lang (Nữ)",i63="<(c0xFFFF6600)3> <(c0xFFFF6600)Giáp Thương Lang (Nữ)> hợp thành <(c0xFFFF6600)Giáp Hoàng Kim (Nữ)>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n64="Mũ Thương Lang",i64="<(c0xFFFF6600)3> <(c0xFFFF6600)Mũ Thương Lang> hợp thành <(c0xFFFF6600)Mũ Hoàng Kim>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n65="Dây Chuyền Thương Lang",i65="<(c0xFFFF6600)3> <(c0xFFFF6600)Dây Chuyền Thương Lang> hợp thành <(c0xFFFF6600)Dây Chuyền Hoàng Kim>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n66="Vòng Tay Thương Lang",i66="<(c0xFFFF6600)3> <(c0xFFFF6600)Vòng Tay Thương Lang> hợp thành <(c0xFFFF6600)Vòng Tay Hoàng Kim>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n67="Đai Thương Lang",i67="<(c0xFFFF6600)3> <(c0xFFFF6600)Đai Thương Lang> hợp thành <(c0xFFFF6600)Đai Hoàng Kim>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n68="Ủng Thương Lang",i68="<(c0xFFFF6600)3> <(c0xFFFF6600)Ủng Thương Lang> hợp thành <(c0xFFFF6600)Ủng Hoàng Kim>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n69="Đá Thương Lang",i69="<(c0xFFFF6600)3> <(c0xFFFF6600)Đá Thương Lang> hợp thành <(c0xFFFF6600)Đá Hoàng Kim>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n70="Nhẫn Thương Lang",i70="<(c0xFFFF6600)3> <(c0xFFFF6600)Nhẫn Thương Lang> hợp thành <(c0xFFFF6600)Nhẫn Hoàng Kim>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n71="Huy Chương Thương Lang",i71="<(c0xFFFF6600)3> <(c0xFFFF6600)Huy Chương Thương Lang> hợp thành <(c0xFFFF6600)Huy Chương Hoàng Kim>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n72="Pháp Trượng Tiên Phong",i72="<(c0xFFFF6600)3> <(c0xFFFF6600)Pháp Trượng Tiên Phong> hợp thành <(c0xFFFF6600)Pháp Trượng Đọa Lạc>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n73="Pháp Bào Tiên Phong (Nam)",i73="<(c0xFFFF6600)3> <(c0xFFFF6600)Pháp Bào Tiên Phong (Nam)> hợp thành <(c0xFFFF6600)Pháp Bào Đọa Lạc (Nam)>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n74="Pháp Bào Tiên Phong (Nữ)",i74="<(c0xFFFF6600)3> <(c0xFFFF6600)Pháp Bào Tiên Phong (Nữ)> hợp thành <(c0xFFFF6600)Pháp Bào Đọa Lạc (Nữ)>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n75="Mũ Tiên Phong",i75="<(c0xFFFF6600)3> <(c0xFFFF6600)Mũ Tiên Phong> hợp thành <(c0xFFFF6600)Mũ Đọa Lạc>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n76="Dây Chuyền Tiên Phong",i76="<(c0xFFFF6600)3> <(c0xFFFF6600)Dây Chuyền Tiên Phong> hợp thành <(c0xFFFF6600)Dây Chuyền Đọa Lạc>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n77="Vòng Tay Tiên Phong",i77="<(c0xFFFF6600)3> <(c0xFFFF6600)Vòng Tay Tiên Phong> hợp thành <(c0xFFFF6600)Vòng Tay Đọa Lạc>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n78="Đai Tiên Phong",i78="<(c0xFFFF6600)3> <(c0xFFFF6600)Đai Tiên Phong> hợp thành <(c0xFFFF6600)Đai Đọa Lạc>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n79="Ủng Tiên Phong",i79="<(c0xFFFF6600)3> <(c0xFFFF6600)Ủng Tiên Phong> hợp thành <(c0xFFFF6600)Ủng Đọa Lạc>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n80="Đá Tiên Phong",i80="<(c0xFFFF6600)3> <(c0xFFFF6600)Đá Tiên Phong> hợp thành <(c0xFFFF6600)Đá Đọa Lạc>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n81="Nhẫn Tiên Phong",i81="<(c0xFFFF6600)3> <(c0xFFFF6600)Nhẫn Tiên Phong> hợp thành <(c0xFFFF6600)Nhẫn Đọa Lạc>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n82="Huy Chương Tiên Phong",i82="<(c0xFFFF6600)3> <(c0xFFFF6600)Huy Chương Tiên Phong> hợp thành <(c0xFFFF6600)Huy Chương Đọa Lạc>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n83="Kiếm Xé Rách",i83="<(c0xFFFF6600)3> <(c0xFFFF6600)Kiếm Xé Rách> hợp thành <(c0xFFFF6600)Kiếm Nguyền Rủa>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n84="Giáp Xé Rách (Nam)",i84="<(c0xFFFF6600)3> <(c0xFFFF6600)Giáp Xé Rách (Nam)> hợp thành <(c0xFFFF6600)Giáp Nguyền Rủa (Nam)>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n85="Giáp Xé Rách (Nữ)",i85="<(c0xFFFF6600)3> <(c0xFFFF6600)Giáp Xé Rách (Nữ)> hợp thành <(c0xFFFF6600)Giáp Nguyền Rủa (Nữ)>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n86="Mũ Xé Rách",i86="<(c0xFFFF6600)3> <(c0xFFFF6600)Mũ Xé Rách> hợp thành <(c0xFFFF6600)Mũ Nguyền Rủa>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n87="Dây Chuyền Xé Rách",i87="<(c0xFFFF6600)3> <(c0xFFFF6600)Dây Chuyền Xé Rách> hợp thành <(c0xFFFF6600)Dây Chuyền Nguyền Rủa>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n88="Vòng Tay Xé Rách",i88="<(c0xFFFF6600)3> <(c0xFFFF6600)Vòng Tay Xé Rách> hợp thành <(c0xFFFF6600)Vòng Tay Nguyền Rủa>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n89="Đai Xé Rách",i89="<(c0xFFFF6600)3> <(c0xFFFF6600)Đai Xé Rách> hợp thành <(c0xFFFF6600)Đai Nguyền Rủa>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n90="Ủng Xé Rách",i90="<(c0xFFFF6600)3> <(c0xFFFF6600)Ủng Xé Rách> hợp thành <(c0xFFFF6600)Ủng Nguyền Rủa>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
n91="Đá Xé Rách",i91="<(c0xFFFF6600)3> <(c0xFFFF6600)Đá Xé Rách> hợp thành <(c0xFFFF6600)Đá Nguyền Rủa>, CS tăng mạnh.\\Nâng cấp tại <(c0xFFFF6600)Bảng Rèn> (phím tắt: <(c0xFFFF6600)x>).",
